title,text,genres
Book Title 338,"This is a sample text of the book, providing a brief overview of its content and themes.",memoir
Book Title 375,"This is a sample text of the book, providing a brief overview of its content and themes.",horror
Book Title 121,"This is a sample text of the book, providing a brief overview of its content and themes.","mystery, biography, non-fiction"
Book Title 166,"This is a sample text of the book, providing a brief overview of its content and themes.",adult
Book Title 334,"This is a sample text of the book, providing a brief overview of its content and themes.","paranormal, literary-fiction, writing"
Book Title 606,"This is a sample text of the book, providing a brief overview of its content and themes.",urban-fantasy
Book Title 151,"This is a sample text of the book, providing a brief overview of its content and themes.","speculative-fiction, mystery-thriller, magic"
Book Title 748,"This is a sample text of the book, providing a brief overview of its content and themes.","family, dystopia"
Book Title 131,"This is a sample text of the book, providing a brief overview of its content and themes.","religion, thriller, poetry"
Book Title 72,"This is a sample text of the book, providing a brief overview of its content and themes.","suspense, science-fiction"
Book Title 806,"This is a sample text of the book, providing a brief overview of its content and themes.","history, young-adult"
Book Title 177,"This is a sample text of the book, providing a brief overview of its content and themes.","supernatural, high-school"
Book Title 352,"This is a sample text of the book, providing a brief overview of its content and themes.","mystery, action, mystery-thriller"
Book Title 414,"This is a sample text of the book, providing a brief overview of its content and themes.",paranormal-romance
Book Title 664,"This is a sample text of the book, providing a brief overview of its content and themes.",historical
Book Title 928,"This is a sample text of the book, providing a brief overview of its content and themes.","psychology, politics, high-school"
Book Title 310,"This is a sample text of the book, providing a brief overview of its content and themes.","biography, 21st-century, fantasy"
Book Title 740,"This is a sample text of the book, providing a brief overview of its content and themes.",christian
Book Title 31,"This is a sample text of the book, providing a brief overview of its content and themes.",essays
Book Title 616,"This is a sample text of the book, providing a brief overview of its content and themes.",suspense
Book Title 353,"This is a sample text of the book, providing a brief overview of its content and themes.","christian, relationships, speculative-fiction"
Book Title 979,"This is a sample text of the book, providing a brief overview of its content and themes.","amazon, dystopia, speculative-fiction"
Book Title 454,"This is a sample text of the book, providing a brief overview of its content and themes.","psychology, 20th-century, 21st-century"
Book Title 664,"This is a sample text of the book, providing a brief overview of its content and themes.",short-stories
Book Title 764,"This is a sample text of the book, providing a brief overview of its content and themes.","21st-century, paranormal"
Book Title 471,"This is a sample text of the book, providing a brief overview of its content and themes.","graphic-novels, relationships, poetry"
Book Title 772,"This is a sample text of the book, providing a brief overview of its content and themes.","crime, roman"
Book Title 52,"This is a sample text of the book, providing a brief overview of its content and themes.","american, memoir, read-for-school"
Book Title 28,"This is a sample text of the book, providing a brief overview of its content and themes.","amazon, childrens, literature"
Book Title 809,"This is a sample text of the book, providing a brief overview of its content and themes.","writing, mystery-thriller"
Book Title 274,"This is a sample text of the book, providing a brief overview of its content and themes.","20th-century, dark, college"
Book Title 163,"This is a sample text of the book, providing a brief overview of its content and themes.",chick-lit
Book Title 852,"This is a sample text of the book, providing a brief overview of its content and themes.",humor
Book Title 770,"This is a sample text of the book, providing a brief overview of its content and themes.","drama, suspense"
Book Title 51,"This is a sample text of the book, providing a brief overview of its content and themes.","school, poetry"
Book Title 654,"This is a sample text of the book, providing a brief overview of its content and themes.","travel, fantasy, poetry"
Book Title 274,"This is a sample text of the book, providing a brief overview of its content and themes.","relationships, contemporary"
Book Title 573,"This is a sample text of the book, providing a brief overview of its content and themes.","urban-fantasy, supernatural, mythology"
Book Title 756,"This is a sample text of the book, providing a brief overview of its content and themes.","speculative-fiction, writing, mystery"
Book Title 518,"This is a sample text of the book, providing a brief overview of its content and themes.","sociology, theology"
Book Title 587,"This is a sample text of the book, providing a brief overview of its content and themes.","mystery, historical, cookbooks"
Book Title 568,"This is a sample text of the book, providing a brief overview of its content and themes.","literary-fiction, science-fiction, 21st-century"
Book Title 702,"This is a sample text of the book, providing a brief overview of its content and themes.","urban-fantasy, high-school, philosophy"
Book Title 859,"This is a sample text of the book, providing a brief overview of its content and themes.","school, coming-of-age"
Book Title 386,"This is a sample text of the book, providing a brief overview of its content and themes.","supernatural, non-fiction"
Book Title 124,"This is a sample text of the book, providing a brief overview of its content and themes.",high-school
Book Title 106,"This is a sample text of the book, providing a brief overview of its content and themes.",dystopia
Book Title 402,"This is a sample text of the book, providing a brief overview of its content and themes.","literary-fiction, graphic-novels"
Book Title 847,"This is a sample text of the book, providing a brief overview of its content and themes.","urban-fantasy, dark"
Book Title 914,"This is a sample text of the book, providing a brief overview of its content and themes.",dark
Book Title 434,"This is a sample text of the book, providing a brief overview of its content and themes.",literature
Book Title 146,"This is a sample text of the book, providing a brief overview of its content and themes.",family
Book Title 959,"This is a sample text of the book, providing a brief overview of its content and themes.",classics
Book Title 407,"This is a sample text of the book, providing a brief overview of its content and themes.","suspense, mystery, chick-lit"
Book Title 142,"This is a sample text of the book, providing a brief overview of its content and themes.","magic, childrens, drama"
Book Title 825,"This is a sample text of the book, providing a brief overview of its content and themes.","school, horror, suspense"
Book Title 218,"This is a sample text of the book, providing a brief overview of its content and themes.","childrens, dark, thriller"
Book Title 315,"This is a sample text of the book, providing a brief overview of its content and themes.",mystery-thriller
Book Title 307,"This is a sample text of the book, providing a brief overview of its content and themes.","high-school, history"
Book Title 22,"This is a sample text of the book, providing a brief overview of its content and themes.","history, plays, fiction"
Book Title 700,"This is a sample text of the book, providing a brief overview of its content and themes.",suspense
Book Title 919,"This is a sample text of the book, providing a brief overview of its content and themes.",fantasy
Book Title 7,"This is a sample text of the book, providing a brief overview of its content and themes.","mythology, science, christian"
Book Title 837,"This is a sample text of the book, providing a brief overview of its content and themes.","biography, theology, contemporary"
Book Title 153,"This is a sample text of the book, providing a brief overview of its content and themes.","supernatural, travel"
Book Title 212,"This is a sample text of the book, providing a brief overview of its content and themes.","young-adult, speculative-fiction, mythology"
Book Title 580,"This is a sample text of the book, providing a brief overview of its content and themes.",suspense
Book Title 515,"This is a sample text of the book, providing a brief overview of its content and themes.",poetry
Book Title 525,"This is a sample text of the book, providing a brief overview of its content and themes.","amazon, paranormal-romance, humor"
Book Title 913,"This is a sample text of the book, providing a brief overview of its content and themes.",novels
Book Title 556,"This is a sample text of the book, providing a brief overview of its content and themes.","writing, 20th-century, relationships"
Book Title 655,"This is a sample text of the book, providing a brief overview of its content and themes.",cookbooks
Book Title 124,"This is a sample text of the book, providing a brief overview of its content and themes.","business, roman"
Book Title 86,"This is a sample text of the book, providing a brief overview of its content and themes.","paranormal-romance, coming-of-age"
Book Title 594,"This is a sample text of the book, providing a brief overview of its content and themes.","literary-fiction, vampires, business"
Book Title 592,"This is a sample text of the book, providing a brief overview of its content and themes.","chick-lit, science-fiction, writing"
Book Title 262,"This is a sample text of the book, providing a brief overview of its content and themes.",war
Book Title 388,"This is a sample text of the book, providing a brief overview of its content and themes.",sociology
Book Title 884,"This is a sample text of the book, providing a brief overview of its content and themes.","suspense, coming-of-age"
Book Title 714,"This is a sample text of the book, providing a brief overview of its content and themes.",magic
Book Title 303,"This is a sample text of the book, providing a brief overview of its content and themes.","urban-fantasy, unfinished"
Book Title 704,"This is a sample text of the book, providing a brief overview of its content and themes.","20th-century, coming-of-age"
Book Title 358,"This is a sample text of the book, providing a brief overview of its content and themes.","adult, poetry, vampires"
Book Title 692,"This is a sample text of the book, providing a brief overview of its content and themes.","politics, science"
Book Title 822,"This is a sample text of the book, providing a brief overview of its content and themes.","history, christian"
Book Title 693,"This is a sample text of the book, providing a brief overview of its content and themes.","read-for-school, essays, magic"
Book Title 661,"This is a sample text of the book, providing a brief overview of its content and themes.","christian, travel"
Book Title 378,"This is a sample text of the book, providing a brief overview of its content and themes.","theology, biography"
Book Title 608,"This is a sample text of the book, providing a brief overview of its content and themes.","paranormal, amazon, urban-fantasy"
Book Title 49,"This is a sample text of the book, providing a brief overview of its content and themes.","science-fiction, theology"
Book Title 890,"This is a sample text of the book, providing a brief overview of its content and themes.",21st-century
Book Title 494,"This is a sample text of the book, providing a brief overview of its content and themes.","speculative-fiction, historical-fiction"
Book Title 151,"This is a sample text of the book, providing a brief overview of its content and themes.","graphic-novels, read-for-school"
Book Title 613,"This is a sample text of the book, providing a brief overview of its content and themes.","young-adult, short-stories, drama"
Book Title 154,"This is a sample text of the book, providing a brief overview of its content and themes.",adult
Book Title 273,"This is a sample text of the book, providing a brief overview of its content and themes.",essays
Book Title 860,"This is a sample text of the book, providing a brief overview of its content and themes.","business, suspense"
Book Title 302,"This is a sample text of the book, providing a brief overview of its content and themes.","fantasy, writing, thriller"
Book Title 119,"This is a sample text of the book, providing a brief overview of its content and themes.","speculative-fiction, new-adult"
Book Title 317,"This is a sample text of the book, providing a brief overview of its content and themes.","literary-fiction, business, literature"
Book Title 556,"This is a sample text of the book, providing a brief overview of its content and themes.","contemporary, action, urban-fantasy"
Book Title 351,"This is a sample text of the book, providing a brief overview of its content and themes.",biography
Book Title 449,"This is a sample text of the book, providing a brief overview of its content and themes.","read-for-school, unfinished, action"
Book Title 129,"This is a sample text of the book, providing a brief overview of its content and themes.",fiction
Book Title 160,"This is a sample text of the book, providing a brief overview of its content and themes.",literature
Book Title 631,"This is a sample text of the book, providing a brief overview of its content and themes.","cookbooks, mystery-thriller, politics"
Book Title 189,"This is a sample text of the book, providing a brief overview of its content and themes.","vampires, family, spirituality"
Book Title 222,"This is a sample text of the book, providing a brief overview of its content and themes.","memoir, urban-fantasy, sociology"
Book Title 552,"This is a sample text of the book, providing a brief overview of its content and themes.",literary-fiction
Book Title 36,"This is a sample text of the book, providing a brief overview of its content and themes.",non-fiction
Book Title 400,"This is a sample text of the book, providing a brief overview of its content and themes.",school
Book Title 549,"This is a sample text of the book, providing a brief overview of its content and themes.",travel
Book Title 420,"This is a sample text of the book, providing a brief overview of its content and themes.",young-adult
Book Title 630,"This is a sample text of the book, providing a brief overview of its content and themes.",urban-fantasy
Book Title 395,"This is a sample text of the book, providing a brief overview of its content and themes.","vampires, school"
Book Title 738,"This is a sample text of the book, providing a brief overview of its content and themes.",biography
Book Title 163,"This is a sample text of the book, providing a brief overview of its content and themes.",contemporary
Book Title 210,"This is a sample text of the book, providing a brief overview of its content and themes.","science, memoir, magic"
Book Title 730,"This is a sample text of the book, providing a brief overview of its content and themes.",chick-lit
Book Title 85,"This is a sample text of the book, providing a brief overview of its content and themes.",politics
Book Title 75,"This is a sample text of the book, providing a brief overview of its content and themes.",dark
Book Title 925,"This is a sample text of the book, providing a brief overview of its content and themes.","fantasy, amazon"
Book Title 910,"This is a sample text of the book, providing a brief overview of its content and themes.",politics
Book Title 84,"This is a sample text of the book, providing a brief overview of its content and themes.","high-school, contemporary"
Book Title 610,"This is a sample text of the book, providing a brief overview of its content and themes.","science-fiction, politics, history"
Book Title 689,"This is a sample text of the book, providing a brief overview of its content and themes.","thriller, novels"
Book Title 618,"This is a sample text of the book, providing a brief overview of its content and themes.","cookbooks, paranormal, christian"
Book Title 842,"This is a sample text of the book, providing a brief overview of its content and themes.","thriller, dystopia"
Book Title 553,"This is a sample text of the book, providing a brief overview of its content and themes.","sociology, fiction"
Book Title 357,"This is a sample text of the book, providing a brief overview of its content and themes.","speculative-fiction, travel"
Book Title 323,"This is a sample text of the book, providing a brief overview of its content and themes.","unfinished, graphic-novels"
Book Title 88,"This is a sample text of the book, providing a brief overview of its content and themes.","novels, crime"
Book Title 150,"This is a sample text of the book, providing a brief overview of its content and themes.",essays
Book Title 975,"This is a sample text of the book, providing a brief overview of its content and themes.",novels
Book Title 12,"This is a sample text of the book, providing a brief overview of its content and themes.",politics
Book Title 795,"This is a sample text of the book, providing a brief overview of its content and themes.",humor
Book Title 543,"This is a sample text of the book, providing a brief overview of its content and themes.",urban-fantasy
Book Title 808,"This is a sample text of the book, providing a brief overview of its content and themes.",literary-fiction
Book Title 845,"This is a sample text of the book, providing a brief overview of its content and themes.","psychology, action, read-for-school"
Book Title 274,"This is a sample text of the book, providing a brief overview of its content and themes.","christian, drama"
Book Title 843,"This is a sample text of the book, providing a brief overview of its content and themes.",non-fiction
Book Title 76,"This is a sample text of the book, providing a brief overview of its content and themes.","paranormal, literary-fiction"
Book Title 26,"This is a sample text of the book, providing a brief overview of its content and themes.","roman, poetry, amazon"
Book Title 313,"This is a sample text of the book, providing a brief overview of its content and themes.","memoir, magic, speculative-fiction"
Book Title 197,"This is a sample text of the book, providing a brief overview of its content and themes.","mystery, crime, magic"
Book Title 273,"This is a sample text of the book, providing a brief overview of its content and themes.","poetry, vampires, cookbooks"
Book Title 335,"This is a sample text of the book, providing a brief overview of its content and themes.","business, picture-books"
Book Title 977,"This is a sample text of the book, providing a brief overview of its content and themes.","thriller, fantasy, read-for-school"
Book Title 889,"This is a sample text of the book, providing a brief overview of its content and themes.","travel, science, paranormal-romance"
Book Title 120,"This is a sample text of the book, providing a brief overview of its content and themes.","historical, read-for-school"
Book Title 501,"This is a sample text of the book, providing a brief overview of its content and themes.","biography, science, essays"
Book Title 13,"This is a sample text of the book, providing a brief overview of its content and themes.","classics, chick-lit"
Book Title 774,"This is a sample text of the book, providing a brief overview of its content and themes.",horror
Book Title 888,"This is a sample text of the book, providing a brief overview of its content and themes.","picture-books, christian"
Book Title 721,"This is a sample text of the book, providing a brief overview of its content and themes.","literary-fiction, historical-fiction, roman"
Book Title 653,"This is a sample text of the book, providing a brief overview of its content and themes.",science-fiction
Book Title 6,"This is a sample text of the book, providing a brief overview of its content and themes.","urban-fantasy, politics, spirituality"
Book Title 256,"This is a sample text of the book, providing a brief overview of its content and themes.",war
Book Title 94,"This is a sample text of the book, providing a brief overview of its content and themes.","thriller, writing, college"
Book Title 547,"This is a sample text of the book, providing a brief overview of its content and themes.","read-for-school, science-fiction"
Book Title 679,"This is a sample text of the book, providing a brief overview of its content and themes.","21st-century, action"
Book Title 446,"This is a sample text of the book, providing a brief overview of its content and themes.","drama, mystery, read-for-school"
Book Title 84,"This is a sample text of the book, providing a brief overview of its content and themes.","philosophy, essays, spirituality"
Book Title 878,"This is a sample text of the book, providing a brief overview of its content and themes.","thriller, read-for-school"
Book Title 886,"This is a sample text of the book, providing a brief overview of its content and themes.","unfinished, 21st-century"
Book Title 294,"This is a sample text of the book, providing a brief overview of its content and themes.",theology
Book Title 320,"This is a sample text of the book, providing a brief overview of its content and themes.","mystery, humor"
Book Title 547,"This is a sample text of the book, providing a brief overview of its content and themes.","childrens, thriller, politics"
Book Title 977,"This is a sample text of the book, providing a brief overview of its content and themes.",paranormal-romance
Book Title 815,"This is a sample text of the book, providing a brief overview of its content and themes.",amazon
Book Title 901,"This is a sample text of the book, providing a brief overview of its content and themes.","suspense, philosophy, mystery-thriller"
Book Title 188,"This is a sample text of the book, providing a brief overview of its content and themes.","chick-lit, war, action"
Book Title 392,"This is a sample text of the book, providing a brief overview of its content and themes.","chick-lit, travel"
Book Title 328,"This is a sample text of the book, providing a brief overview of its content and themes.","urban-fantasy, psychology, dark"
Book Title 236,"This is a sample text of the book, providing a brief overview of its content and themes.","magic, mystery, paranormal-romance"
Book Title 952,"This is a sample text of the book, providing a brief overview of its content and themes.","novels, psychology"
Book Title 55,"This is a sample text of the book, providing a brief overview of its content and themes.","graphic-novels, literature, picture-books"
Book Title 540,"This is a sample text of the book, providing a brief overview of its content and themes.",war
Book Title 249,"This is a sample text of the book, providing a brief overview of its content and themes.","essays, humor"
Book Title 449,"This is a sample text of the book, providing a brief overview of its content and themes.","american, christian"
Book Title 263,"This is a sample text of the book, providing a brief overview of its content and themes.","action, cookbooks"
Book Title 686,"This is a sample text of the book, providing a brief overview of its content and themes.","science-fiction, writing"
Book Title 213,"This is a sample text of the book, providing a brief overview of its content and themes.","dark, historical-fiction, essays"
Book Title 867,"This is a sample text of the book, providing a brief overview of its content and themes.","amazon, new-adult"
Book Title 568,"This is a sample text of the book, providing a brief overview of its content and themes.",non-fiction
Book Title 991,"This is a sample text of the book, providing a brief overview of its content and themes.","mythology, short-stories, young-adult"
Book Title 748,"This is a sample text of the book, providing a brief overview of its content and themes.",travel
Book Title 920,"This is a sample text of the book, providing a brief overview of its content and themes.","fantasy, short-stories, politics"
Book Title 587,"This is a sample text of the book, providing a brief overview of its content and themes.",urban-fantasy
Book Title 790,"This is a sample text of the book, providing a brief overview of its content and themes.",paranormal
Book Title 996,"This is a sample text of the book, providing a brief overview of its content and themes.",war
Book Title 478,"This is a sample text of the book, providing a brief overview of its content and themes.","philosophy, suspense"
Book Title 276,"This is a sample text of the book, providing a brief overview of its content and themes.","unfinished, horror, travel"
Book Title 861,"This is a sample text of the book, providing a brief overview of its content and themes.","spirituality, historical"
Book Title 260,"This is a sample text of the book, providing a brief overview of its content and themes.","paranormal, literature"
Book Title 51,"This is a sample text of the book, providing a brief overview of its content and themes.","literary-fiction, science-fiction"
Book Title 693,"This is a sample text of the book, providing a brief overview of its content and themes.","literature, poetry"
Book Title 366,"This is a sample text of the book, providing a brief overview of its content and themes.","history, psychology"
Book Title 288,"This is a sample text of the book, providing a brief overview of its content and themes.","unfinished, literature, business"
Book Title 463,"This is a sample text of the book, providing a brief overview of its content and themes.","vampires, thriller, essays"
Book Title 951,"This is a sample text of the book, providing a brief overview of its content and themes.","politics, childrens"
Book Title 945,"This is a sample text of the book, providing a brief overview of its content and themes.",fiction
Book Title 377,"This is a sample text of the book, providing a brief overview of its content and themes.",business
Book Title 200,"This is a sample text of the book, providing a brief overview of its content and themes.",mythology
Book Title 844,"This is a sample text of the book, providing a brief overview of its content and themes.","young-adult, 20th-century"
Book Title 903,"This is a sample text of the book, providing a brief overview of its content and themes.","coming-of-age, college, science-fiction"
Book Title 834,"This is a sample text of the book, providing a brief overview of its content and themes.","dark, urban-fantasy, amazon"
Book Title 798,"This is a sample text of the book, providing a brief overview of its content and themes.","chick-lit, dystopia, young-adult"
Book Title 213,"This is a sample text of the book, providing a brief overview of its content and themes.","drama, picture-books, christian"
Book Title 638,"This is a sample text of the book, providing a brief overview of its content and themes.","amazon, mystery"
Book Title 140,"This is a sample text of the book, providing a brief overview of its content and themes.",fiction
Book Title 253,"This is a sample text of the book, providing a brief overview of its content and themes.",writing
Book Title 87,"This is a sample text of the book, providing a brief overview of its content and themes.",coming-of-age
Book Title 791,"This is a sample text of the book, providing a brief overview of its content and themes.","new-adult, urban-fantasy, fantasy"
Book Title 945,"This is a sample text of the book, providing a brief overview of its content and themes.","new-adult, philosophy, 20th-century"
Book Title 510,"This is a sample text of the book, providing a brief overview of its content and themes.","urban-fantasy, essays"
Book Title 957,"This is a sample text of the book, providing a brief overview of its content and themes.","dark, paranormal-romance"
Book Title 264,"This is a sample text of the book, providing a brief overview of its content and themes.",cookbooks
Book Title 835,"This is a sample text of the book, providing a brief overview of its content and themes.",contemporary
Book Title 42,"This is a sample text of the book, providing a brief overview of its content and themes.","suspense, picture-books, science-fiction"
Book Title 860,"This is a sample text of the book, providing a brief overview of its content and themes.","cookbooks, war, crime"
Book Title 449,"This is a sample text of the book, providing a brief overview of its content and themes.","college, new-adult"
Book Title 562,"This is a sample text of the book, providing a brief overview of its content and themes.","novels, amazon, thriller"
Book Title 11,"This is a sample text of the book, providing a brief overview of its content and themes.",speculative-fiction
Book Title 548,"This is a sample text of the book, providing a brief overview of its content and themes.","young-adult, history, religion"
Book Title 157,"This is a sample text of the book, providing a brief overview of its content and themes.","classics, roman"
Book Title 359,"This is a sample text of the book, providing a brief overview of its content and themes.","historical-fiction, philosophy, childrens"
Book Title 666,"This is a sample text of the book, providing a brief overview of its content and themes.","unfinished, thriller"
Book Title 833,"This is a sample text of the book, providing a brief overview of its content and themes.",non-fiction
Book Title 611,"This is a sample text of the book, providing a brief overview of its content and themes.",coming-of-age
Book Title 785,"This is a sample text of the book, providing a brief overview of its content and themes.","new-adult, read-for-school, history"
Book Title 435,"This is a sample text of the book, providing a brief overview of its content and themes.",plays
Book Title 838,"This is a sample text of the book, providing a brief overview of its content and themes.","dystopia, vampires"
Book Title 887,"This is a sample text of the book, providing a brief overview of its content and themes.",horror
Book Title 31,"This is a sample text of the book, providing a brief overview of its content and themes.",family
Book Title 747,"This is a sample text of the book, providing a brief overview of its content and themes.",classics
Book Title 237,"This is a sample text of the book, providing a brief overview of its content and themes.","essays, plays, new-adult"
Book Title 470,"This is a sample text of the book, providing a brief overview of its content and themes.",20th-century
Book Title 520,"This is a sample text of the book, providing a brief overview of its content and themes.","sociology, fantasy, chick-lit"
Book Title 485,"This is a sample text of the book, providing a brief overview of its content and themes.","family, mystery, contemporary"
Book Title 409,"This is a sample text of the book, providing a brief overview of its content and themes.","graphic-novels, memoir"
Book Title 223,"This is a sample text of the book, providing a brief overview of its content and themes.",poetry
Book Title 221,"This is a sample text of the book, providing a brief overview of its content and themes.","writing, speculative-fiction, young-adult"
Book Title 270,"This is a sample text of the book, providing a brief overview of its content and themes.",sociology
Book Title 460,"This is a sample text of the book, providing a brief overview of its content and themes.","read-for-school, family, literature"
Book Title 616,"This is a sample text of the book, providing a brief overview of its content and themes.","fiction, poetry"
Book Title 725,"This is a sample text of the book, providing a brief overview of its content and themes.","business, history"
Book Title 809,"This is a sample text of the book, providing a brief overview of its content and themes.",fantasy
